00 data
00 Data was recorded 60 times per second
00 Date and Time: 5/7/2019 3:45:09 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):214038.7  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):216089.8 force plate (fx, fy, fz, mx, my, mz):-0.270752,0.03046799,0.01757813,0.004638672,-0.02511597,-0.1533055
01 timestamp(ms):216100.2 force plate (fx, fy, fz, mx, my, mz):0.04833603,-0.2128716,-0.1689453,-0.0357666,0.02322388,-0.2023225
01 timestamp(ms):216119.9 force plate (fx, fy, fz, mx, my, mz):-0.2718735,0.03356552,0.01806641,-0.09893799,-0.02511597,-0.1525512
01 timestamp(ms):216136.2 force plate (fx, fy, fz, mx, my, mz):-0.2781372,0.03253555,0.015625,0.004394531,-0.02539063,-0.06862879
01 timestamp(ms):216156.3 force plate (fx, fy, fz, mx, my, mz):0.0598526,-0.2067528,0.01660156,0.01513672,-0.009399414,-0.0158143
01 timestamp(ms):216166.2 force plate (fx, fy, fz, mx, my, mz):0.0598526,-0.2067528,0.01660156,0.01513672,-0.009399414,-0.0158143
01 timestamp(ms):216185.5 force plate (fx, fy, fz, mx, my, mz):0.06058502,-0.2051353,0.2036133,-0.03668213,-0.04241943,-0.01532888
01 timestamp(ms):216205.7 force plate (fx, fy, fz, mx, my, mz):-0.2696075,0.04323196,0.01416016,-0.1001587,-0.0249939,0.1189008
01 timestamp(ms):216216 force plate (fx, fy, fz, mx, my, mz):-0.2781372,0.03253555,0.015625,0.004394531,-0.02539063,-0.06862879
01 timestamp(ms):216237.3 force plate (fx, fy, fz, mx, my, mz):-0.2781372,0.03253555,0.015625,0.004394531,-0.02539063,-0.06862879
01 timestamp(ms):216248 force plate (fx, fy, fz, mx, my, mz):-0.274725,0.2741146,0.01757813,0.09777832,0.04122925,-0.1124625
01 timestamp(ms):216267.5 force plate (fx, fy, fz, mx, my, mz):-0.2758484,0.2772102,0.01708984,-0.005859375,0.04122925,-0.1117082
01 timestamp(ms):216292.9 force plate (fx, fy, fz, mx, my, mz):0.0558548,0.04272079,0.01611328,-0.09979248,-0.009552002,0.02661753
01 timestamp(ms):216304.2 force plate (fx, fy, fz, mx, my, mz):-0.2748947,-0.2133369,0.3916016,0.01629639,-0.02478027,-0.1101699
01 timestamp(ms):216324.8 force plate (fx, fy, fz, mx, my, mz):0.05697632,0.03962326,0.015625,0.00390625,-0.009552002,0.02586317
01 timestamp(ms):216336.1 force plate (fx, fy, fz, mx, my, mz):0.05723381,0.04337883,0.3913574,-0.0994873,0.05743408,0.02659416
01 timestamp(ms):216356.5 force plate (fx, fy, fz, mx, my, mz):0.06196404,-0.2044773,0.5788574,-0.03637695,0.02456665,-0.01535225
01 timestamp(ms):216366.5 force plate (fx, fy, fz, mx, my, mz):-0.2745285,-0.2122231,0.2036133,-0.03619385,-0.05825806,-0.1098208
01 timestamp(ms):216385.9 force plate (fx, fy, fz, mx, my, mz):-0.2752609,-0.2138405,0.01660156,0.015625,-0.02523804,-0.1103063
01 timestamp(ms):216405.4 force plate (fx, fy, fz, mx, my, mz):0.0558548,0.04272079,0.01611328,-0.09979248,-0.009552002,0.02661753
01 timestamp(ms):216415.4 force plate (fx, fy, fz, mx, my, mz):-0.2648773,-0.2046242,0.2016602,-0.03717041,-0.05786133,0.07695436
01 timestamp(ms):216435.1 force plate (fx, fy, fz, mx, my, mz):0.05770874,0.04124069,0.2026367,-0.0479126,-0.04257202,0.02634859
01 timestamp(ms):216451.3 force plate (fx, fy, fz, mx, my, mz):0.05770874,0.04124069,0.2026367,-0.0479126,-0.04257202,0.02634859
01 timestamp(ms):216472.5 force plate (fx, fy, fz, mx, my, mz):-0.6028709,0.03466415,0.2006836,-0.04779053,-0.07385254,0.02413988
01 timestamp(ms):216484.3 force plate (fx, fy, fz, mx, my, mz):-0.268486,0.04013443,0.01367188,0.003417969,-0.0249939,0.1181464
01 timestamp(ms):216507.2 force plate (fx, fy, fz, mx, my, mz):0.05723381,0.04337883,0.3913574,-0.0994873,0.05743408,0.02659416
01 timestamp(ms):216518.1 force plate (fx, fy, fz, mx, my, mz):-0.2756596,0.03592491,0.3898926,-0.09960938,-0.02490234,-0.06781769
01 timestamp(ms):216538.7 force plate (fx, fy, fz, mx, my, mz):0.05770874,0.04124069,0.2026367,-0.0479126,-0.04257202,0.02634859
01 timestamp(ms):216548.8 force plate (fx, fy, fz, mx, my, mz):0.05697632,0.03962326,0.015625,0.00390625,-0.009552002,0.02586317
01 timestamp(ms):216569 force plate (fx, fy, fz, mx, my, mz):0.0562458,0.03800774,-0.1713867,0.05578613,0.02346802,0.02537775
01 timestamp(ms):216589.1 force plate (fx, fy, fz, mx, my, mz):0.06510162,0.03917313,0.2045898,-0.04766846,-0.04229736,-0.05832815
01 timestamp(ms):216604.6 force plate (fx, fy, fz, mx, my, mz):0.06058502,-0.2051353,0.2036133,-0.03668213,-0.04241943,-0.01532888
01 timestamp(ms):216615 force plate (fx, fy, fz, mx, my, mz):-0.270752,0.03046799,0.01757813,0.004638672,-0.02511597,-0.1533055
01 timestamp(ms):216635.1 force plate (fx, fy, fz, mx, my, mz):0.0598526,-0.2067528,0.01660156,0.01513672,-0.009399414,-0.0158143
01 timestamp(ms):216655.5 force plate (fx, fy, fz, mx, my, mz):0.06058502,-0.2051353,0.2036133,-0.03668213,-0.04241943,-0.01532888
01 timestamp(ms):216665.6 force plate (fx, fy, fz, mx, my, mz):0.05883789,-0.2069092,0.01660156,0.01550293,-0.07589722,-0.01565504
01 timestamp(ms):216685.3 force plate (fx, fy, fz, mx, my, mz):0.06058502,-0.2051353,0.2036133,-0.03668213,-0.04241943,-0.01532888
01 timestamp(ms):216705.8 force plate (fx, fy, fz, mx, my, mz):0.06222534,0.2855492,0.2036133,-0.05889893,-0.04244995,-0.01665068
01 timestamp(ms):216717.3 force plate (fx, fy, fz, mx, my, mz):0.0598526,-0.2067528,0.01660156,0.01513672,-0.009399414,-0.0158143
01 timestamp(ms):216737.1 force plate (fx, fy, fz, mx, my, mz):0.06021881,-0.2062492,0.3916016,0.01580811,-0.00894165,-0.01567793
01 timestamp(ms):216747.5 force plate (fx, fy, fz, mx, my, mz):0.05963516,0.2854118,-0.1708984,-0.05895996,0.02359009,-0.01686716
01 timestamp(ms):216773.3 force plate (fx, fy, fz, mx, my, mz):0.05963516,0.2854118,-0.1708984,-0.05895996,0.02359009,-0.01686716
01 timestamp(ms):216783.4 force plate (fx, fy, fz, mx, my, mz):0.3841858,-0.2041664,0.01806641,-0.08807373,0.006072998,-0.1073451
01 timestamp(ms):216803 force plate (fx, fy, fz, mx, my, mz):0.3889732,-0.4419785,0.2060547,-0.02557373,0.03982544,0.1220803
